timestamp,uav_id,target_id,Q_i_t,D_i_t,Psi_i_t,C_i_t,beta_Psi_i_t,gamma_F_t,up,down,P_star,N_ij,h_ij,correction_term,P_ij_trans_opt
61.0,6,3,6103836.226395316,7103836.226395316,5.0,5000000000000000.0,5000000000000000.0,0.0,142076724527906.34,3465735902799726.5,0.040994677180431566,8e-13,2.495644800231715e-09,0.0003205584384146822,0.04067411874201688
61.0,6,7,6103836.226395316,7103836.226395316,5.0,5000000000000000.0,5000000000000000.0,0.0,142076724527906.34,3465735902799726.5,0.040994677180431566,2.7797222714223745e-11,8.368657170421769e-09,0.0033215869820155154,0.037673090198416054
61.0,6,8,6103836.226395316,7103836.226395316,5.0,5000000000000000.0,5000000000000000.0,0.0,142076724527906.34,3465735902799726.5,0.040994677180431566,2.5995654318313403e-11,5.132251219276739e-09,0.0050651562457959395,0.035929520934635625
63.0,6,7,1487241.8341757997,2487241.8341758,5.037673090198416,5067012847063499.0,5037673090198416.0,29339756865082.723,49744836683516.0,3512185668803085.5,0.014163498565970887,1.1469791664839747e-11,1.4894277690948718e-08,0.0007700804230211151,0.01339341814294977
65.0,6,7,1567694.1550684625,2567694.1550684627,5.051066508341366,5085466350016065.0,5051066508341366.0,34399841674699.156,51353883101369.26,3524976662346111.5,0.01456857392842702,6.919886004216859e-11,8.831218088113545e-09,0.007835709564834255,0.006732864363592765
71.0,6,2,7370534.727784863,8370534.727784863,5.0577993727049595,5073932078743251.0,5057799372704959.0,16132706038291.93,167410694555697.25,3516981714733546.5,0.04760067243294741,1.2528726254300479e-11,1.463777436813751e-08,0.0008559174324733505,0.04674475500047406
72.0,6,7,7370534.727784863,8370534.727784863,5.0577993727049595,5069765412076584.0,5057799372704959.0,11966039371625.264,167410694555697.25,3514093601481213.5,0.047639793796366875,2.76803324987957e-11,7.13508917491511e-09,0.0038794655287717585,0.043760328267595114
72.0,6,2,7370534.727784863,8370534.727784863,5.0577993727049595,5069765412076584.0,5057799372704959.0,11966039371625.264,167410694555697.25,3514093601481213.5,0.047639793796366875,3.233353171033081e-11,1.58408444238684e-08,0.002041149502207839,0.04559864429415904
88.0,6,2,4690394.465281871,5690394.465281871,5.101559700972555,5101559700972555.0,5101559700972555.0,0.0,113807889305637.42,3536131723187364.0,0.032184290126798326,1.0035029745258695e-11,2.1978912090260324e-09,0.004565753620583246,0.02761853650621508
89.0,6,7,4690394.465281871,5690394.465281871,5.101559700972555,5101559700972555.0,5101559700972555.0,0.0,113807889305637.42,3536131723187364.0,0.032184290126798326,4.8391316613043434e-11,1.625106693230002e-09,0.029777316661506476,0.00240697346529185
