timestamp,uav_id,target_id,Q_i_t,D_i_t,Psi_i_t,C_i_t,beta_Psi_i_t,gamma_F_t,up,down,P_star,N_ij,h_ij,correction_term,P_ij_trans_opt
1.0,4,5,1531904.0,2531904.0,5.0,5000000000000000.0,5000000000000000.0,0.0,50638080000000.0,3465735902799726.5,0.01461106137922772,9.6892624983617e-12,2.6968853667913797e-09,0.00359276023284946,0.01101830114637826
1.0,4,8,1531904.0,2531904.0,5.0,5000000000000000.0,5000000000000000.0,0.0,50638080000000.0,3465735902799726.5,0.01461106137922772,2.913829645067248e-11,2.2926593003493502e-09,0.012709387934889606,0.0019016734443381145
5.0,4,5,3342336.0,4342336.0,5.001901673444339,5001901673444339.0,5001901673444339.0,0.0,86846720000000.0,3467054042386015.5,0.02504913939565602,6.37910786781312e-11,5.023216483654805e-09,0.012699249352621554,0.012349890043034465
5.0,4,1,3342336.0,4342336.0,5.001901673444339,5001901673444339.0,5001901673444339.0,0.0,86846720000000.0,3467054042386015.5,0.02504913939565602,3.621180912246933e-11,1.9290442316827424e-09,0.018771891555270908,0.006277247840385112
6.0,4,3,3342336.0,4342336.0,5.001901673444339,5001901673444339.0,5001901673444339.0,0.0,86846720000000.0,3467054042386015.5,0.02504913939565602,8e-13,3.2392209418456136e-09,0.00024697296490809405,0.024802166430747927
6.0,4,5,3342336.0,4342336.0,5.001901673444339,5001901673444339.0,5001901673444339.0,0.0,86846720000000.0,3467054042386015.5,0.02504913939565602,8e-13,5.447597501210555e-09,0.00014685372768862337,0.024902285667967396
6.0,4,8,3342336.0,4342336.0,5.001901673444339,5001901673444339.0,5001901673444339.0,0.0,86846720000000.0,3467054042386015.5,0.02504913939565602,8e-13,2.2251965085404097e-09,0.0003595188096554898,0.024689620586000532
6.0,4,1,3342336.0,4342336.0,5.001901673444339,5001901673444339.0,5001901673444339.0,0.0,86846720000000.0,3467054042386015.5,0.02504913939565602,8e-13,1.7832199331828686e-09,0.0004486266585031272,0.024600512737152892
8.0,4,3,3342336.0,4342336.0,5.026703839875086,5043172672972501.0,5026703839875086.0,16468833097414.596,86846720000000.0,3495660919347852.0,0.024844148790095482,8e-13,3.3316352638515716e-09,0.00024012232331673417,0.02460402646677875
8.0,4,5,3342336.0,4342336.0,5.026703839875086,5043172672972501.0,5026703839875086.0,16468833097414.596,86846720000000.0,3495660919347852.0,0.024844148790095482,8e-13,5.888628715595701e-09,0.00013585505873060823,0.024708293731364874
8.0,4,8,3342336.0,4342336.0,5.026703839875086,5043172672972501.0,5026703839875086.0,16468833097414.596,86846720000000.0,3495660919347852.0,0.024844148790095482,8e-13,2.1095880304607293e-09,0.0003792209608931474,0.024464927829202336
8.0,4,1,3342336.0,4342336.0,5.026703839875086,5043172672972501.0,5026703839875086.0,16468833097414.596,86846720000000.0,3495660919347852.0,0.024844148790095482,8e-13,2.1771829166942896e-09,0.00036744730719028164,0.024476701482905202
10.0,4,3,3342336.0,4342336.0,5.051307866341865,5084047392572725.0,5051307866341865.0,32739526230860.016,86846720000000.0,3523993115994925.5,0.024644406825261533,8e-13,3.0911000894439365e-09,0.00025880753675107084,0.024385599288510463
10.0,4,5,3342336.0,4342336.0,5.051307866341865,5084047392572725.0,5051307866341865.0,32739526230860.016,86846720000000.0,3523993115994925.5,0.024644406825261533,8e-13,6.436374053055028e-09,0.00012429358415244366,0.02452011324110909
10.0,4,8,3342336.0,4342336.0,5.051307866341865,5084047392572725.0,5051307866341865.0,32739526230860.016,86846720000000.0,3523993115994925.5,0.024644406825261533,8e-13,2.070330673536779e-09,0.00038641170235542477,0.02425799512290611
10.0,4,1,3342336.0,4342336.0,5.051307866341865,5084047392572725.0,5051307866341865.0,32739526230860.016,86846720000000.0,3523993115994925.5,0.024644406825261533,8e-13,1.6282881691563853e-09,0.000491313524936117,0.024153093300325418
12.0,4,3,3342336.0,4342336.0,5.075827979582975,5124754285721611.0,5075827979582975.0,48926306138635.77,86846720000000.0,3552208984210431.0,0.024448651637905786,8e-13,2.928192949215737e-09,0.0002732060399961913,0.024175445597909594
12.0,4,5,3342336.0,4342336.0,5.075827979582975,5124754285721611.0,5075827979582975.0,48926306138635.77,86846720000000.0,3552208984210431.0,0.024448651637905786,8e-13,5.781507758667623e-09,0.00013837220901427347,0.024310279428891513
12.0,4,8,3342336.0,4342336.0,5.075827979582975,5124754285721611.0,5075827979582975.0,48926306138635.77,86846720000000.0,3552208984210431.0,0.024448651637905786,8e-13,1.7863253783793026e-09,0.00044784674151907537,0.02400080489638671
12.0,4,1,3342336.0,4342336.0,5.075827979582975,5124754285721611.0,5075827979582975.0,48926306138635.77,86846720000000.0,3552208984210431.0,0.024448651637905786,8e-13,1.8192909188248133e-09,0.00043973176127145566,0.02400891987663433
14.0,4,3,3342336.0,4342336.0,5.100138259011867,5165041511246061.0,5100138259011867.0,64903252234193.95,86846720000000.0,3580133960995286.0,0.02425795262025793,8e-13,3.2591460928875734e-09,0.0002454630683005705,0.02401248955195736
14.0,4,5,3342336.0,4342336.0,5.100138259011867,5165041511246061.0,5100138259011867.0,64903252234193.95,86846720000000.0,3580133960995286.0,0.02425795262025793,8e-13,1.3148835399490832e-08,6.084189022785841e-05,0.024197110730030072
14.0,4,1,3342336.0,4342336.0,5.100138259011867,5165041511246061.0,5100138259011867.0,64903252234193.95,86846720000000.0,3580133960995286.0,0.02425795262025793,8e-13,1.9314335387158475e-09,0.00041420011818366586,0.023843752502074267
16.0,4,3,3342336.0,4342336.0,5.124335369741898,5205102399372789.0,5124335369741898.0,80767029630890.69,86846720000000.0,3607902052651055.0,0.024071252138395994,8e-13,3.2992320683522954e-09,0.00024248066926663226,0.023828771469129362
16.0,4,5,3342336.0,4342336.0,5.124335369741898,5205102399372789.0,5124335369741898.0,80767029630890.69,86846720000000.0,3607902052651055.0,0.024071252138395994,8e-13,1.431599015506507e-08,5.5881569583013156e-05,0.02401537056881298
