timestamp,uav_id,target_id,Q_i_t,D_i_t,Psi_i_t,C_i_t,beta_Psi_i_t,gamma_F_t,up,down,P_star,N_ij,h_ij,correction_term,P_ij_trans_opt
2.0,8,4,1531904.0,2531904.0,5.0,5000000000000000.0,5000000000000000.0,0.0,50638080000000.0,3465735902799726.5,0.01461106137922772,2.6342280761100754e-11,3.2311198152813986e-09,0.008152678410907705,0.006458382968320015
2.0,8,7,1531904.0,2531904.0,5.0,5000000000000000.0,5000000000000000.0,0.0,50638080000000.0,3465735902799726.5,0.01461106137922772,2.2747870450397337e-11,2.4786012104286987e-09,0.00917770489043813,0.005433356488789591
2.0,8,9,1531904.0,2531904.0,5.0,5000000000000000.0,5000000000000000.0,0.0,50638080000000.0,3465735902799726.5,0.01461106137922772,6.7908251695864305e-12,2.0137331829761317e-09,0.003372256675807542,0.011238804703420178
4.0,8,4,1531904.0,2531904.0,5.005433356488789,5005433356488789.0,5005433356488789.0,0.0,50638080000000.0,3469502018530907.5,0.014595201193006281,2.4824454732570435e-11,2.7652818930118235e-09,0.00897718774903369,0.005618013443972591
4.0,8,7,1531904.0,2531904.0,5.005433356488789,5005433356488789.0,5005433356488789.0,0.0,50638080000000.0,3469502018530907.5,0.014595201193006281,1.716934250927653e-11,2.270995647194758e-09,0.007560270989724229,0.007034930203282053
4.0,8,9,1531904.0,2531904.0,5.005433356488789,5005433356488789.0,5005433356488789.0,0.0,50638080000000.0,3469502018530907.5,0.014595201193006281,4.232546632350767e-12,1.7396215566059321e-09,0.0024330272387568168,0.012162173954249464
4.0,8,5,1531904.0,2531904.0,5.005433356488789,5005433356488789.0,5005433356488789.0,0.0,50638080000000.0,3469502018530907.5,0.014595201193006281,7.89190580855222e-12,1.654607692055194e-09,0.004769653765328298,0.009825547427677984
6.0,8,4,1531904.0,2531904.0,5.012468286692071,5012468286692071.0,5012468286692071.0,0.0,50638080000000.0,3474378260566748.5,0.014574717029152664,8e-13,3.103359384630856e-09,0.00025778516144856997,0.014316931867704094
6.0,8,7,1531904.0,2531904.0,5.012468286692071,5012468286692071.0,5012468286692071.0,0.0,50638080000000.0,3474378260566748.5,0.014574717029152664,8e-13,2.110354149355018e-09,0.00037908329284186827,0.014195633736310796
6.0,8,5,1531904.0,2531904.0,5.012468286692071,5012468286692071.0,5012468286692071.0,0.0,50638080000000.0,3474378260566748.5,0.014574717029152664,8e-13,1.6454409675613982e-09,0.0004861918572415444,0.01408852517191112
6.0,8,3,1531904.0,2531904.0,5.012468286692071,5012468286692071.0,5012468286692071.0,0.0,50638080000000.0,3474378260566748.5,0.014574717029152664,8e-13,1.7858257858792452e-09,0.00044797202858515273,0.014126745000567511
