timestamp,uav_id,target_id,Q_i_t,D_i_t,Psi_i_t,C_i_t,beta_Psi_i_t,gamma_F_t,up,down,P_star,N_ij,h_ij,correction_term,P_ij_trans_opt
16.0,3,8,6479872.0,7479872.0,5.127903061352015,5197813341233572.0,5127903061352015.0,69910279881557.39,149597440000000.0,3602849662552919.0,0.04152197677157524,8e-13,1.6544124750877544e-09,0.0004835553479234771,0.041038421423651765
16.0,3,5,6479872.0,7479872.0,5.127903061352015,5197813341233572.0,5127903061352015.0,69910279881557.39,149597440000000.0,3602849662552919.0,0.04152197677157524,8e-13,2.136822062528196e-09,0.00037438774806240743,0.041147589023512836
18.0,3,1,6479872.0,7479872.0,5.169050650375528,5271775185947265.0,5169050650375528.0,102724535571736.9,149597440000000.0,3654116106685228.0,0.04093943258297419,8e-13,1.976277325587544e-09,0.00040480148693815596,0.040534631096036035
18.0,3,4,6479872.0,7479872.0,5.169050650375528,5271775185947265.0,5169050650375528.0,102724535571736.9,149597440000000.0,3654116106685228.0,0.04093943258297419,8e-13,3.312619726584758e-09,0.00024150070519104932,0.04069793187778314
18.0,3,8,6479872.0,7479872.0,5.169050650375528,5271775185947265.0,5169050650375528.0,102724535571736.9,149597440000000.0,3654116106685228.0,0.04093943258297419,8e-13,1.7516064480865288e-09,0.0004567235984281329,0.040482708984546055
18.0,3,5,6479872.0,7479872.0,5.169050650375528,5271775185947265.0,5169050650375528.0,102724535571736.9,149597440000000.0,3654116106685228.0,0.04093943258297419,8e-13,2.916478570638737e-09,0.0002743034041305478,0.04066512917884364
20.0,3,1,6479872.0,7479872.0,5.209715779554372,5344772110971619.0,5209715779554372.0,135056331417247.19,149597440000000.0,3704713719455404.5,0.04038029692129381,8e-13,1.6837541020036537e-09,0.0004751287608137118,0.0399051681604801
20.0,3,4,6479872.0,7479872.0,5.209715779554372,5344772110971619.0,5209715779554372.0,135056331417247.19,149597440000000.0,3704713719455404.5,0.04038029692129381,8e-13,3.181607527253007e-09,0.00025144521854042706,0.04012885170275338
20.0,3,8,6479872.0,7479872.0,5.209715779554372,5344772110971619.0,5209715779554372.0,135056331417247.19,149597440000000.0,3704713719455404.5,0.04038029692129381,8e-13,2.0268028139327495e-09,0.00039471032628364235,0.03998558659501016
20.0,3,5,6479872.0,7479872.0,5.209715779554372,5344772110971619.0,5209715779554372.0,135056331417247.19,149597440000000.0,3704713719455404.5,0.04038029692129381,8e-13,3.437022383899013e-09,0.00023275961301493395,0.04014753730827887
22.0,3,4,6479872.0,7479872.0,5.249863316862651,5416733852254844.0,5249863316862651.0,166870535392192.72,149597440000000.0,3754593797534056.5,0.039843841455832765,8e-13,2.5512869746635766e-09,0.0003135672340840808,0.039530274221748686
22.0,3,5,6479872.0,7479872.0,5.249863316862651,5416733852254844.0,5249863316862651.0,166870535392192.72,149597440000000.0,3754593797534056.5,0.039843841455832765,8e-13,2.337494173313594e-09,0.0003422468424235398,0.03950159461340923
24.0,3,1,6479872.0,7479872.0,5.28936491147606,5487403708148329.0,5289364911476060.0,198038796672268.6,149597440000000.0,3803578408897203.0,0.03933071016757974,8e-13,1.6093779634325504e-09,0.0004970864633275614,0.038833623704252175
24.0,3,4,6479872.0,7479872.0,5.28936491147606,5487403708148329.0,5289364911476060.0,198038796672268.6,149597440000000.0,3803578408897203.0,0.03933071016757974,8e-13,2.2704303481773366e-09,0.0003523561075732742,0.038978354060006465
24.0,3,5,6479872.0,7479872.0,5.28936491147606,5487403708148329.0,5289364911476060.0,198038796672268.6,149597440000000.0,3803578408897203.0,0.03933071016757974,8e-13,1.7611235939408341e-09,0.0004542554552970667,0.038876454712282675
24.0,3,2,6479872.0,7479872.0,5.28936491147606,5487403708148329.0,5289364911476060.0,198038796672268.6,149597440000000.0,3803578408897203.0,0.03933071016757974,8e-13,2.0991439247517133e-09,0.00038110774138301357,0.038949602426196724
